;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC20234ECBE41
;Start_time, 2024-07-22, 19:19:37.275
;Uptime, 5,sec,  Vbat, 4076, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 31,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 155995000, ver, 1, numSat, 24
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721675981.149281,105,-98,1019,-3027,-2617,-2669
1721675981.158577,96,-103,1020,-3447,-2888,-3002
1721675981.167873,89,-97,1021,-3710,-2940,-3229
1721675981.177169,86,-91,1021,-3946,-2800,-3089
1721675981.186465,86,-85,1023,-4077,-2529,-3019
1721675981.195761,87,-86,1023,-4060,-2354,-2879
1721675981.205057,87,-88,1021,-3963,-2100,-2634
1721675981.214356,100,-84,1015,-3780,-1908,-2293,1385,-40881,70410
1721675981.223652,109,-84,1011,-3500,-1733,-1978
1721675981.232948,112,-89,1008,-3237,-1820,-1838
1721675981.242244,110,-89,1005,-3018,-2118,-1952
1721675981.251540,106,-87,1004,-2913,-2372,-2013
