;Title, http://www.gcdataconcepts.com, LSM6DSM, BMP384, GPS
;Version, 2585, Build date, Feb  9 2024,  SN:CCDC2023B942042
;Start_time, 2024-07-22, 19:42:40.133
;Uptime, 5,sec,  Vbat, 4072, mv, EOL, 3500, mv
;Deadband, 0, counts
;DeadbandTimeout, 0.000,sec
;BMP384, SI, 0.100,sec, Units, Pa, mdegC
;Alt Trigger disabled
;LSM6DSM, SR,104,Hz, Units, mG, mdps, fullscale gyro 250dps, accel 4g
;Magnetometer, SR,10,Hz, Units, nT, Temperature, 30,degC
;CAM_M8 Gps, SR,10,Hz
;Gps Sats, TOW, 157376000, ver, 1, numSat, 21
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
1721677363.063615,-33,-46,1021,1698,1076,-569
1721677363.072865,-35,-44,1018,2048,1347,-692
1721677363.082115,-37,-46,1017,2223,1417,-692
1721677363.091370,-35,-46,1016,2310,1452,-403,-23168,16363,72186,84542,32651, 157384.000, 40.0102017,-105.2443636, 1594.752,1616.080, 23.366,24.547
1721677363.100620,-32,-49,1020,2372,1478,105
1721677363.109870,-32,-55,1022,2503,1478,472
1721677363.119120,-24,-52,1024,2678,1540,813
1721677363.128370,-24,-55,1024,2713,1601,1120
1721677363.137620,-20,-62,1023,2704,1662,1058
1721677363.146870,-13,-69,1022,2888,1618,1006
1721677363.156120,-12,-64,1019,2792,1548,1137
1721677363.165527,-13,-62,1018,2477,1321,1347,-23126,16137,72332,,, 157384.100, 40.0102100,-105.2443560, 1594.498,1615.826, 22.087,23.120
1721677363.174777,-18,-65,1017,2389,1137,1286
1721677363.184027,-17,-66,1019,2407,988,1111
1721677363.193277,-15,-72,1018,2398,927,787
1721677363.202527,-14,-70,1016,2363,796,463
1721677363.211777,-15,-69,1018,2179,507,43
1721677363.221027,-20,-71,1022,1934,227,-324
1721677363.230277,-19,-74,1025,1777,113,-368
1721677363.239472,-15,-71,1026,1637,210,35,,,,84547,32659
1721677363.248722,-19,-72,1025,1365,183,420
1721677363.257972,-19,-74,1021,963,70,630
1721677363.267222,-18,-77,1019,455,-132,717
1721677363.276472,-16,-80,1016,132,-385,875
1721677363.285722,-18,-74,1018,-306,-648,778
1721677363.294972,-22,-64,1020,-673,-1007,875
1721677363.304222,-24,-62,1021,-866,-1190,1146
1721677363.313477,-21,-64,1021,-796,-1260,1330,-23126,16204,72418,84545,32657, 157384.200, 40.0102163,-105.2443515, 1594.505,1615.833, 20.911,21.785
1721677363.322727,-26,-65,1021,-568,-1173,1408
1721677363.331977,-23,-68,1023,-332,-1120,1260
1721677363.341227,-13,-75,1023,-17,-1059,1076
1721677363.350477,-17,-72,1020,9,-1164,787
1721677363.359727,-23,-69,1020,-306,-1514,446
1721677363.368977,-22,-78,1021,-551,-1847,210
1721677363.378227,-27,-72,1027,-551,-2074,96
1721677363.387482,-32,-74,1031,-700,-2074,166,-23199,16058,72277,,, 157384.300, 40.0102270,-105.2443403, 1594.986,1616.314, 19.776,20.500
1721677363.396732,-28,-69,1028,-752,-1969,175
1721677363.405982,-20,-72,1026,-708,-1803,253
1721677363.415232,-21,-72,1023,-568,-1505,201
1721677363.424482,-20,-74,1024,-498,-1322,61
1721677363.433732,-8,-75,1025,-341,-1050,52
1721677363.442982,-6,-74,1025,-175,-980,78
1721677363.452232,-16,-66,1029,-315,-1112,105
1721677363.461487,-17,-63,1030,-612,-1313,253,-23297,16101,72241,84543,32657, 157384.400, 40.0102381,-105.2443301, 1595.598,1616.926, 18.646,19.145
1721677363.470737,-16,-68,1028,-700,-1453,612
1721677363.479987,-22,-71,1028,-621,-1322,822
1721677363.489237,-23,-64,1021,-778,-1190,980
1721677363.498487,-20,-69,1017,-988,-1059,927
1721677363.507737,-25,-69,1015,-1111,-1007,630
1721677363.516987,-27,-67,1009,-1251,-814,367
1721677363.526237,-34,-66,1004,-1295,-578,-53
1721677363.535492,-38,-65,1004,-1181,-307,-342,-23278,15887,72174,84543,32659
1721677363.544742,-39,-68,1008,-971,-18,-473
1721677363.553992,-34,-72,1015,-831,350,-595
1721677363.563242,-27,-74,1020,-866,647,-455
1721677363.572492,-22,-72,1022,-936,717,-62
1721677363.581742,-16,-69,1022,-1330,577,420
1721677363.590992,-20,-71,1022,-1793,455,647
1721677363.600242,-19,-69,1021,-2003,253,883
1721677363.609497,-16,-63,1016,-1968,218,1137,-23211,16015,72229,84546,32662, 157384.500, 40.0102426,-105.2443197, 1595.394,1616.722, 17.589,17.908
1721677363.618747,-23,-66,1011,-1863,297,1041
1721677363.627997,-24,-68,1007,-1601,315,656
1721677363.637247,-18,-68,1006,-1233,341,297
1721677363.646497,-19,-67,1011,-936,428,-158
1721677363.655747,-20,-70,1018,-682,437,-490
1721677363.664997,-19,-71,1026,-428,428,-569
1721677363.674247,-22,-60,1034,-367,236,-438
1721677363.683502,-22,-59,1038,-673,0,-237,,,,,, 157384.600, 40.0102423,-105.2443088, 1594.670,1615.998, 16.617,16.768
1721677363.692752,-19,-63,1038,-682,-158,-9
1721677363.702002,-21,-63,1034,-533,-307,323
1721677363.711252,-19,-64,1025,-437,-438,595
1721677363.720502,-25,-66,1018,-411,-403,717
1721677363.729752,-29,-70,1015,-218,-324,787
1721677363.739002,-26,-66,1017,35,-245,848
1721677363.748252,-20,-68,1020,167,-193,892
1721677363.757507,-19,-69,1024,237,-105,673,-23223,15795,72198,84540,32662, 157384.700, 40.0102407,-105.2442972, 1593.643,1614.971, 15.700,15.689
1721677363.766757,-15,-69,1027,245,-158,490
1721677363.776007,-15,-66,1026,149,-385,385
1721677363.785257,-22,-68,1026,-183,-613,428
1721677363.794507,-26,-67,1026,-411,-867,735
1721677363.803757,-30,-65,1025,-201,-1024,936
